duration,HSP ID,help,Gender,Gender_Other,Age,Culture,Culture_Other,First_Lanuage,First_Lanuage_O,First_Lanuage_2,English_Years,English_Fluent,Nationality,Years_Canada,Old_Move_Canada,Religion,Religion_Other,Handedness,Political,Year_School,Sex_Orientation,Sex_Orient_Othr,UBC_Faculty,Faculty_Other,Major,Country_Born,country_born_2,Mom education,Dad education,Family.income,Attn,Attnother,BIological.sex,age.30,age.28,Kim.1,Kim.2,Kim.3,Kim.4,Kim.5,Kim.6,Kim.7,Kim.8,Kim.9,Kim.10,Kim.11,Kim.12,Kim.13,Kim.14,Kim.15,Kim.16,Kim.17,Kim.18,Kim.19,Kim.20,Kim.21
19,29750306,Yes,Woman,N/A,27,East Asian,N/A,Both English and another language,N/A,Mandarin,N/A,7. Completely fluent,Canadian,19,8,Nonreligious,N/A,Mostly right handed,Moderately liberal,Other,Heterosexual/straight only,N/A,"Faculty of Arts, Other","Unclassified (formerly Arts, Class of 2016)",[Decline to Answer],China,N/A,Some college,Professional or Graduate Degree (e.g. PhD MD),"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree
15,37580408,Yes,Woman,[Decline to Answer],[Decline to Answer],East Asian,[Decline to Answer],Cantonese,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,20+,Not applicable--I was born in Canada,[Decline to Answer],[Decline to Answer],Mostly right handed,[Decline to Answer],3rd,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],High school graduate,2 year degree (e.g.technical college degree),"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,Yes,Yes,2 Disagree,2 Disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,4 Neither agree nor disagree,1 Strongly disagree,4 Neither agree nor disagree,2 Disagree,1 Strongly disagree,[Decline to Answer],1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,4 Neither agree nor disagree,1 Strongly disagree,3 Slightly disagree,4 Neither agree nor disagree
26,99900720,Yes,Woman,[Decline to Answer],55,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian and American (dual citizen),[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly right handed,Moderately liberal,4th,Other,Mostly heterosexual,Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],High school graduate,2 year degree (e.g.technical college degree),"$35,001 - $50,000",Other (Please specify below),Decision Making,Female,No,No,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree,7 Strongly agree
16,38000603,Yes,Woman,[Decline to Answer],25,South East Asian,[Decline to Answer],Both English and another language,[Decline to Answer],Vietnamese,[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Buddhist,[Decline to Answer],Mostly right handed,Neutral/moderate,2nd,Heterosexual/straight only,[Decline to Answer],Faculty of Land and Food Systems,[Decline to Answer],"Food, Nutrition, and Health",Canada,[Decline to Answer],High school graduate,High school graduate,"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,Yes,Yes,2 Disagree,3 Slightly disagree,2 Disagree,2 Disagree,3 Slightly disagree,5 Slightly agree,2 Disagree,3 Slightly disagree,2 Disagree,5 Slightly agree,1 Strongly disagree,2 Disagree,2 Disagree,2 Disagree,5 Slightly agree,3 Slightly disagree,4 Neither agree nor disagree,5 Slightly agree,6 Agree,7 Strongly agree,6 Agree
8,54480828,Yes,Woman,[Decline to Answer],26,East Asian,[Decline to Answer],Both English and another language,Mandarin,[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly left handed,Slightly liberal,Other,Heterosexual/straight only,[Decline to Answer],Other,Unclassified,[Decline to Answer],Canada,[Decline to Answer],High school graduate,4 year degree (e.g.Bachelor's degree),"$100,001 - $150,000",Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree
14,36441122,Yes,Woman,[Decline to Answer],24,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Christian,[Decline to Answer],Mostly left handed,Moderately liberal,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],High school graduate,High school graduate,[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,3 Slightly disagree,2 Disagree,5 Slightly agree,3 Slightly disagree,5 Slightly agree,2 Disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,3 Slightly disagree,2 Disagree,1 Strongly disagree,3 Slightly disagree,2 Disagree,2 Disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,2 Disagree,3 Slightly disagree,3 Slightly disagree
14,54900730,Yes,Woman,[Decline to Answer],27,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Ambidextrious,Strongly liberal,3rd,Heterosexual/straight somewhat more,[Decline to Answer],"Faculty of Arts, Faculty of Science",[Decline to Answer],Biology & Arts Psychology,Canada,[Decline to Answer],High school graduate,High school graduate,"$15,001 - $25,000",Other (Please specify below),Decision Making,Female,Yes,Yes,6 Agree,2 Disagree,3 Slightly disagree,6 Agree,5 Slightly agree,7 Strongly agree,6 Agree,5 Slightly agree,7 Strongly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree,6 Agree
11,10580902,Yes,Woman,[Decline to Answer],31,South East Asian,[Decline to Answer],Both English and another language,[Decline to Answer],punjabi,[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],Mostly right handed,Neutral/moderate,Other,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],speech science,Canada,[Decline to Answer],"4 year (e.g., Bachelor's degree)",Some college,"$50,001 - $75,000",Other (Please specify below),Decision Making,Female,No,No,6 Agree,6 Agree,6 Agree,6 Agree,4 Neither agree nor disagree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,6 Agree,7 Strongly agree,6 Agree,7 Strongly agree,7 Strongly agree
17,37260713,Yes,Woman,[Decline to Answer],25,South East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Filipino,11,13,Christian,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Heterosexual/straight only,[Decline to Answer],Other,alumni,I already graduated with a Psychology major,Other,Philippines,"4 year (e.g., Bachelor's degree)",Professional or Graduate Degree (e.g. PhD MD),"$75,001 - $100,000",Other (Please specify below),decision making,Female,Yes,Yes,6 Agree,6 Agree,7 Strongly agree,6 Agree,5 Slightly agree,5 Slightly agree,3 Slightly disagree,3 Slightly disagree,6 Agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree
10,13711224,Yes,Woman,n/a,24,East Asian,n/a,Mandarin,n/a,n/a,18,6,Chinese,7,16,Atheist,n/a,Ambidextrious,Moderately liberal,4th,Heterosexual/straight mostly,n/a,Faculty of Arts,n/a,Computer Science,China,n/a,Less than high school,Some college,"$100,001 - $150,000",Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree
11,48481229,Yes,Man,[Decline to Answer],23,South Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,[Decline to Answer],[Decline to Answer],Not applicable--I was born in Canada,Atheist,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Gay/lesbian only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],"Professional or Graduate Degree (e.g., PhD, MD)",Professional or Graduate Degree (e.g. PhD MD),"$100,001 - $150,000",Other (Please specify below),Decision Making,Male,Yes,Yes,3 Slightly disagree,3 Slightly disagree,6 Agree,3 Slightly disagree,7 Strongly agree,7 Strongly agree,2 Disagree,7 Strongly agree,1 Strongly disagree,5 Slightly agree,3 Slightly disagree,1 Strongly disagree,1 Strongly disagree,6 Agree,6 Agree,6 Agree,3 Slightly disagree,7 Strongly agree,6 Agree,6 Agree,7 Strongly agree
17,23700106,Yes,Man,[Decline to Answer],24,South Asian,[Decline to Answer],Both English and another language,[Decline to Answer],Tamil,[Decline to Answer],7. Completely fluent,Sri Lankan,[Decline to Answer],Not applicable--I was born in Canada,Hindu,[Decline to Answer],Mostly right handed,Neutral/moderate,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],Less than high school,4 year degree (e.g.Bachelor's degree),"$15,001 - $25,000",Other (Please specify below),Decision Making,Male,Yes,Yes,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,6 Agree,5 Slightly agree,3 Slightly disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,4 Neither agree nor disagree
6,23491121,No,Non-binary,[Decline to Answer],23,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Agnostic,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Other,Asexual,Faculty of Arts,[Decline to Answer],"Psychology, English Literature",Canada,[Decline to Answer],"2 year degree (e.g., technical college degree)",4 year degree (e.g.Bachelor's degree),[Decline to Answer],[Decline to Answer],Decision Making,Female,Yes,Yes,2 Disagree,2 Disagree,4 Neither agree nor disagree,5 Slightly agree,6 Agree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,3 Slightly disagree,3 Slightly disagree,1 Strongly disagree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,6 Agree
15,26300522,[Decline to Answer],Woman,[Decline to Answer],24,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],18,7. Completely fluent,Taiwanese Canadian,18,6,Buddhist,[Decline to Answer],Mostly right handed,Neutral/moderate,4th,Bisexual (equally Heterosexual/straight and Gay/lesbian),[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Taiwan,[Decline to Answer],"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,3 Slightly disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,2 Disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree
7,34320822,Yes,Woman,[Decline to Answer],23,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Atheist,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Heterosexual/straight somewhat more,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],"2 year degree (e.g., technical college degree)",2 year degree (e.g.technical college degree),"Above $150,000",Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,5 Slightly agree,6 Agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,6 Agree,6 Agree,7 Strongly agree,6 Agree,6 Agree,6 Agree,4 Neither agree nor disagree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree,7 Strongly agree
12,49160627,Yes,Woman,[Decline to Answer],25,European,[Decline to Answer],Both English and another language,[Decline to Answer],French,[Decline to Answer],7. Completely fluent,British and Canadian,20+,2,Other,Not sure,Mostly right handed,Moderately liberal,1st,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Other,United Kingdom,"2 year degree (e.g., technical college degree)",High school graduate,[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,1 Strongly disagree,1 Strongly disagree,4 Neither agree nor disagree,1 Strongly disagree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,5 Slightly agree,5 Slightly agree
9,16460314,Yes,Non-binary,[Decline to Answer],23,European,[Decline to Answer],Both English and another language,[Decline to Answer],French,[Decline to Answer],7. Completely fluent,USA/CANADA,3,17,Nonreligious,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Gay/lesbian somewhat more,Queer,Faculty of Arts,[Decline to Answer],COGS,United States of America,[Decline to Answer],"4 year (e.g., Bachelor's degree)",Professional or Graduate Degree (e.g. PhD MD),[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,3 Slightly disagree,3 Slightly disagree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,3 Slightly disagree,5 Slightly agree,5 Slightly agree,3 Slightly disagree
17,38791223,Yes,Man,[Decline to Answer],22,East Asian,[Decline to Answer],Korean,[Decline to Answer],[Decline to Answer],11,6,Canadian,11,11,Nonreligious,[Decline to Answer],Mostly right handed,Slightly conservative,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Other,Korea,"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),"$25,001 - $35,000",Other (Please specify below),Decision Making,Male,Yes,Yes,2 Disagree,2 Disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,6 Agree,2 Disagree,3 Slightly disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,4 Neither agree nor disagree,2 Disagree,2 Disagree,2 Disagree
20,37000215,Yes,Man,[Decline to Answer],23,Hispanic,[Decline to Answer],Spanish,[Decline to Answer],[Decline to Answer],17,7. Completely fluent,Ecuadorian,2,18,Atheist,[Decline to Answer],Mostly right handed,Slightly liberal,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Honors Psychology,Other,Ecuador,"Professional or Graduate Degree (e.g., PhD, MD)",4 year degree (e.g.Bachelor's degree),"Above $150,000",Other (Please specify below),Decision Making,Male,Yes,Yes,5 Slightly agree,5 Slightly agree,6 Agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,3 Slightly disagree,3 Slightly disagree,5 Slightly agree,5 Slightly agree,1 Strongly disagree,1 Strongly disagree,5 Slightly agree,6 Agree,7 Strongly agree,6 Agree,7 Strongly agree,7 Strongly agree,6 Agree,7 Strongly agree,7 Strongly agree
13,24571106,Yes,Woman,[Decline to Answer],23,South East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,[Decline to Answer],[Decline to Answer],[Decline to Answer],Sikh,[Decline to Answer],Mostly right handed,[Decline to Answer],Other,[Decline to Answer],[Decline to Answer],Faculty of Arts,[Decline to Answer],psychology,Canada,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],Other (Please specify below),decision making,Female,Yes,Yes,2 Disagree,2 Disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,2 Disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,4 Neither agree nor disagree,2 Disagree,2 Disagree,2 Disagree
19,37191212,I don't know,Woman,[Decline to Answer],23,East Asian,[Decline to Answer],Korean,[Decline to Answer],[Decline to Answer],15,7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Nonreligious,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Heterosexual/straight only,[Decline to Answer],"Faculty of Pharmaceutical Sciences, Faculty of Science",[Decline to Answer],"Pharmacy, Biology",Canada,[Decline to Answer],"Professional or Graduate Degree (e.g., PhD, MD)",Professional or Graduate Degree (e.g. PhD MD),"Above $150,000",Other (Please specify below),Decision Making,Female,Yes,Yes,3 Slightly disagree,6 Agree,2 Disagree,5 Slightly agree,5 Slightly agree,2 Disagree,5 Slightly agree,5 Slightly agree,3 Slightly disagree,5 Slightly agree,6 Agree,5 Slightly agree,2 Disagree,2 Disagree,2 Disagree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree
11,38560109,Yes,Man,[Decline to Answer],23,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],[Decline to Answer],Christian,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Heterosexual/straight only,[Decline to Answer],Faculty of Science,[Decline to Answer],Behavioural Neuroscience,Canada,[Decline to Answer],"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),"Above $150,000",Other (Please specify below),Decision Making,Male,Yes,Yes,6 Agree,5 Slightly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,6 Agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,7 Strongly agree
12,45920218,Yes,Woman,[Decline to Answer],23,European,[Decline to Answer],Both English and another language,[Decline to Answer],russian,[Decline to Answer],6,russian/ukrainian,20+,2,Nonreligious,[Decline to Answer],Mostly right handed,Moderately liberal,4th,Bisexual (equally Heterosexual/straight and Gay/lesbian),[Decline to Answer],Faculty of Arts,[Decline to Answer],psychology,Other,russia,"4 year (e.g., Bachelor's degree)",Some college,"$100,001 - $150,000",Other (Please specify below),Decision making,Female,Yes,Yes,5 Slightly agree,5 Slightly agree,5 Slightly agree,1 Strongly disagree,2 Disagree,3 Slightly disagree,1 Strongly disagree,2 Disagree,1 Strongly disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree,5 Slightly agree,3 Slightly disagree,7 Strongly agree,5 Slightly agree,7 Strongly agree,3 Slightly disagree
9,31030927,Yes,Woman,[Decline to Answer],22,Middle Eastern,[Decline to Answer],Other,Arabic,[Decline to Answer],20,7. Completely fluent,Canadian,10,3,Muslim,[Decline to Answer],Mostly right handed,Moderately liberal,Other,Heterosexual/straight only,[Decline to Answer],Other,Non-Degree Student,Graduated in 2019 with BSc in Cognitive Systems,Other,United Arab Emirates,"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,6 Agree,6 Agree,7 Strongly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,6 Agree
54,53990805,Yes,Woman,na,40+,European,na,English,na,na,na,7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Christian,na,Mostly right handed,Moderately conservative,3rd,Heterosexual/straight only,na,Faculty of Arts,na,Psychology,Canada,na,High school graduate,High school graduate,"Above $150,000",Other (Please specify below),Decision Making,Female,No,No,7 Strongly agree,7 Strongly agree,6 Agree,7 Strongly agree,6 Agree,7 Strongly agree,6 Agree,7 Strongly agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,5 Slightly agree,6 Agree
24,29860914,Yes,Woman,[Decline to Answer],47,European,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Other,A mishmash,Mostly right handed,Moderately liberal,4th,Heterosexual/straight mostly,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],Some college,High school graduate,"$25,001 - $35,000",Other (Please specify below),Decision Making,Female,No,No,7 Strongly agree,3 Slightly disagree,5 Slightly agree,2 Disagree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,1 Strongly disagree,3 Slightly disagree,1 Strongly disagree,1 Strongly disagree,3 Slightly disagree,5 Slightly agree,2 Disagree,6 Agree,5 Slightly agree,6 Agree,5 Slightly agree
13,26660928,Yes,Woman,[Decline to Answer],22,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,Canadian,[Decline to Answer],Not applicable--I was born in Canada,Christian,[Decline to Answer],Mostly right handed,Slightly liberal,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Canada,[Decline to Answer],"4 year (e.g., Bachelor's degree)",2 year degree (e.g.technical college degree),"$35,001 - $50,000",Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,3 Slightly disagree,6 Agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,3 Slightly disagree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,3 Slightly disagree
20,20181109,Yes,Man,[Decline to Answer],22,European,[Decline to Answer],Both English and another language,[Decline to Answer],Hebrew,[Decline to Answer],7. Completely fluent,Israeli-Canadian,20+,3,Jewish,[Decline to Answer],Mostly right handed,Neutral/moderate,Other,Heterosexual/straight only,[Decline to Answer],School of Kinesiology,[Decline to Answer],Interdisciplinary Major in Kinesiology,Other,Israel,"Professional or Graduate Degree (e.g., PhD, MD)",Professional or Graduate Degree (e.g. PhD MD),"Above $150,000",Other (Please specify below),'Decision Making',Male,Yes,Yes,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,7 Strongly agree
27,16930616,No,Woman,[Decline to Answer],[Decline to Answer],South East Asian,[Decline to Answer],Tagalong,[Decline to Answer],[Decline to Answer],30,7. Completely fluent,canadian,8,20+,Agnostic,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],[Decline to Answer],Other,[Decline to Answer],"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),"$75,001 - $100,000",Predictions of your own behavior,[Decline to Answer],Female,No,No,5 Slightly agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree
12,30060515,I don't know,Woman,[Decline to Answer],23,South East Asian,[Decline to Answer],Korean,[Decline to Answer],[Decline to Answer],15,7. Completely fluent,Canadian,15,8,Christian,[Decline to Answer],Mostly left handed,Slightly conservative,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Other,Kuwait,"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),"$75,001 - $100,000",Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,6 Agree,5 Slightly agree,4 Neither agree nor disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree
14,18070701,I don't know,Man,[Decline to Answer],23,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],19,7. Completely fluent,Canadian,13,10,Atheist,[Decline to Answer],Mostly left handed,Slightly liberal,4th,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,China,[Decline to Answer],High school graduate,Some college,"Above $150,000",Other (Please specify below),Decision Making,Male,Yes,Yes,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,6 Agree,6 Agree,6 Agree,2 Disagree,6 Agree,4 Neither agree nor disagree,6 Agree,2 Disagree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,7 Strongly agree,7 Strongly agree
