duration,HSP ID,help,Gender,Gender_Other,Age,Culture,Culture_Other,First_Lanuage,First_Lanuage_O,First_Lanuage_2,English_Years,English_Fluent,Nationality,Years_Canada,Old_Move_Canada,Religion,Religion_Other,Handedness,Political,Year_School,Sex_Orientation,Sex_Orient_Othr,UBC_Faculty,Faculty_Other,Major,Country_Born,country_born_2,Mom education,Dad education,Family.income,Attn,Attnother,BIological.sex,age.30,age.28,Kim.1,Kim.2,Kim.3,Kim.4,Kim.5,Kim.6,Kim.7,Kim.8,Kim.9,Kim.10,Kim.11,Kim.12,Kim.13,Kim.14,Kim.15,Kim.16,Kim.17,Kim.18,Kim.19,Kim.20,Kim.21
10,13630517,Yes,Woman,[Decline to Answer],20,South Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,south asian,[Decline to Answer],Not applicable--I was born in Canada,[Decline to Answer],[Decline to Answer],Mostly right handed,Moderately liberal,3rd,Heterosexual/straight only,[Decline to Answer],Faculty of Science,[Decline to Answer],Behavioural neuroscience,Canada,[Decline to Answer],Some college,Some college,"Above $150,000",Other (Please specify below),decision making,Female,Yes,Yes,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,6 Agree,7 Strongly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree
25,18630218,Yes,Woman,[Decline to Answer],21,Hispanic,[Decline to Answer],Spanish,[Decline to Answer],[Decline to Answer],18,7. Completely fluent,Salvadorean,3,19,Agnostic,[Decline to Answer],Mostly right handed,Slightly conservative,3rd,Heterosexual/straight only,[Decline to Answer],Faculty of Commerce and Business Admininistration,[Decline to Answer],Commerce Specialization in Real Estate and Marketing,Other,El Salvador,"Professional or Graduate Degree (e.g., PhD, MD)",Professional or Graduate Degree (e.g. PhD MD),"$75,001 - $100,000",Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,3 Slightly disagree,5 Slightly agree,6 Agree,6 Agree,6 Agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,3 Slightly disagree,5 Slightly agree,3 Slightly disagree,3 Slightly disagree,5 Slightly agree,3 Slightly disagree,3 Slightly disagree,6 Agree,7 Strongly agree
50,84111226,I don't know,Woman,[Decline to Answer],19,East Asian,[Decline to Answer],Cantonese,[Decline to Answer],cantonese,[Decline to Answer],7. Completely fluent,canadian,[Decline to Answer],Not applicable--I was born in Canada,[Decline to Answer],[Decline to Answer],Mostly right handed,[Decline to Answer],3rd,[Decline to Answer],[Decline to Answer],Faculty of Arts,[Decline to Answer],speech sciences,Canada,[Decline to Answer],[Decline to Answer],4 year degree (e.g.Bachelor's degree),[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,2 Disagree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,6 Agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,5 Slightly agree
24,40530518,Yes,Woman,[Decline to Answer],20,East Asian,[Decline to Answer],Both English and another language,[Decline to Answer],Cantonese,[Decline to Answer],7. Completely fluent,Canada,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],Mostly right handed,[Decline to Answer],3rd,Heterosexual/straight mostly,[Decline to Answer],"Faculty of Arts, School of Music",[Decline to Answer],[Decline to Answer],Canada,[Decline to Answer],Less than high school,Some college,"$25,001 - $35,000",Other (Please specify below),Decision Making,Female,Yes,Yes,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,5 Slightly agree,5 Slightly agree,6 Agree,5 Slightly agree,5 Slightly agree,5 Slightly agree,6 Agree,6 Agree,6 Agree,6 Agree,6 Agree
16,95060606,Yes,Man,[Decline to Answer],20,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],[Decline to Answer],4,China,3,18,Nonreligious,[Decline to Answer],Mostly right handed,Strongly conservative,3rd,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],[Decline to Answer],China,[Decline to Answer],"2 year degree (e.g., technical college degree)",2 year degree (e.g.technical college degree),"$35,001 - $50,000",[Decline to Answer],[Decline to Answer],Male,Yes,Yes,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree
37,64151114,Yes,Woman,[Decline to Answer],[Decline to Answer],East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],[Decline to Answer],5,[Decline to Answer],3,16,[Decline to Answer],[Decline to Answer],Mostly right handed,Neutral/moderate,3rd,Heterosexual/straight only,[Decline to Answer],Faculty of Arts,[Decline to Answer],psychology,China,[Decline to Answer],"2 year degree (e.g., technical college degree)",Professional or Graduate Degree (e.g. PhD MD),"$35,001 - $50,000",[Decline to Answer],[Decline to Answer],Female,Yes,Yes,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,1 Strongly disagree,2 Disagree,5 Slightly agree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree
21,83730614,Yes,Woman,[Decline to Answer],24,East Asian,[Decline to Answer],English,[Decline to Answer],[Decline to Answer],[Decline to Answer],7. Completely fluent,chinesse canadian,[Decline to Answer],Not applicable--I was born in Canada,Atheist,[Decline to Answer],Mostly right handed,Strongly liberal,4th,Bisexual (equally Heterosexual/straight and Gay/lesbian),[Decline to Answer],Faculty of Arts,[Decline to Answer],linguistics,Canada,[Decline to Answer],"4 year (e.g., Bachelor's degree)",Some college,[Decline to Answer],Other (Please specify below),decision making,Female,Yes,Yes,1 Strongly disagree,1 Strongly disagree,1 Strongly disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,1 Strongly disagree,5 Slightly agree,6 Agree,2 Disagree,6 Agree,5 Slightly agree,6 Agree,1 Strongly disagree,7 Strongly agree,7 Strongly agree,7 Strongly agree,1 Strongly disagree,7 Strongly agree,7 Strongly agree,7 Strongly agree,7 Strongly agree
10,62129019,I don't know,Man,[Decline to Answer],20,East Asian,[Decline to Answer],Korean,[Decline to Answer],[Decline to Answer],14,7. Completely fluent,Canadian,14,6,Other,None,Mostly right handed,Neutral/moderate,2nd,Heterosexual/straight somewhat more,[Decline to Answer],Faculty of Arts,[Decline to Answer],Psychology,Other,South Korea,"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),"Above $150,000",Other (Please specify below),Decision Making,Male,Yes,Yes,2 Disagree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,6 Agree,6 Agree,5 Slightly agree,3 Slightly disagree,3 Slightly disagree,2 Disagree,3 Slightly disagree,2 Disagree,1 Strongly disagree,2 Disagree,2 Disagree,2 Disagree,3 Slightly disagree,3 Slightly disagree,2 Disagree,5 Slightly agree,5 Slightly agree
12,74300907,I don't know,Woman,N/A,20,East Asian,n/A,Cantonese,n/a,n/a,12,7. Completely fluent,Canadian,19,1,Atheist,n/a,Mostly right handed,Neutral/moderate,3rd,Bisexual (equally Heterosexual/straight and Gay/lesbian),n/a,Faculty of Arts,n/a,Psychology and History,Other,Japan,Some college,4 year degree (e.g.Bachelor's degree),"Above $150,000",Other (Please specify below),Decision Making,Female,Yes,Yes,4 Neither agree nor disagree,3 Slightly disagree,5 Slightly agree,3 Slightly disagree,4 Neither agree nor disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,3 Slightly disagree,2 Disagree,3 Slightly disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,4 Neither agree nor disagree,5 Slightly agree,3 Slightly disagree,4 Neither agree nor disagree,4 Neither agree nor disagree,4 Neither agree nor disagree
14,38520714,No,Transgender man,[Decline to Answer],20,East Asian,[Decline to Answer],Mandarin,[Decline to Answer],[Decline to Answer],15,7. Completely fluent,Chinese,15,5,Agnostic,[Decline to Answer],Mostly right handed,Moderately liberal,3rd,Bisexual (equally Heterosexual/straight and Gay/lesbian),[Decline to Answer],Faculty of Science,[Decline to Answer],"Cognitive Systems, Brain and Cognition Specialization",China,[Decline to Answer],"4 year (e.g., Bachelor's degree)",4 year degree (e.g.Bachelor's degree),[Decline to Answer],Other (Please specify below),Decision Making,Female,Yes,Yes,3 Slightly disagree,2 Disagree,5 Slightly agree,2 Disagree,5 Slightly agree,4 Neither agree nor disagree,2 Disagree,3 Slightly disagree,2 Disagree,5 Slightly agree,2 Disagree,3 Slightly disagree,1 Strongly disagree,3 Slightly disagree,2 Disagree,3 Slightly disagree,2 Disagree,4 Neither agree nor disagree,3 Slightly disagree,2 Disagree,2 Disagree
